﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1WQxYjEmqIDiWOFoynQn1P","Robots","Flight of the Conchords","Flight Of The Conchords (Standard DMD)","1","9","223360","spotify:user:eatyourgreens","2016-02-12T15:21:05Z"
"spotify:track:6bmHdVrNxawHecz0zUFSDh","Mr. Roboto","Styx","Kilroy Was Here","1","1","328706","spotify:user:215iyqxnackx5ekss5adqd73a","2016-02-12T15:23:30Z"
"spotify:track:247OK7W7ke06iripfvHDiw","Robot Rock","Daft Punk","Musique Vol 1","1","10","287720","spotify:user:215iyqxnackx5ekss5adqd73a","2016-02-12T15:25:47Z"
"spotify:track:3oXkAea0oRcZMNVGA2CyJZ","Down In The Park","Marilyn Manson","Lunchbox","1","3","299266","spotify:user:215iyqxnackx5ekss5adqd73a","2016-02-12T15:43:05Z"
"spotify:track:4HzdhXWJqczW6gOIXT6QRH","Iron Man","Black Sabbath","Paranoid (Remastered)","1","4","354773","spotify:user:215iyqxnackx5ekss5adqd73a","2016-02-12T15:48:53Z"
"spotify:track:21lhern14mW8gwK2oOqMbP","The 2nd Law: Unsustainable","Muse","The 2nd Law","1","12","228066","spotify:user:215iyqxnackx5ekss5adqd73a","2016-02-12T15:51:56Z"
"spotify:track:1rQDkqg5lqNMFO7nU4kjMC","Psychology of A.I. - Numbers Follow Answers","Man Or Astro-Man?","Eeviac","1","9","92733","spotify:user:eatyourgreens","2016-02-12T15:22:28Z"
"spotify:track:5eqZWYQ5tbIehx00NeKXz7","The Robots - 2009 Remastered Version","Kraftwerk","The Man Machine (2009 Remastered Version)","1","1","372760","spotify:user:s1mo80","2016-02-12T15:25:11Z"
"spotify:track:3dn7AZt6ss8jld8vZ8WoIj","Robot","The Futureheads","The Futureheads (new version)","1","2","120973","spotify:user:s1mo80","2016-02-12T15:26:17Z"
"spotify:track:5BJ04UU4y5pgc9Xh6ezFia","Machines - 2007 Remastered Version","Manfred Mann","Manfred Mann - Down The Road Apiece (Their EMI Recordings 1963-1966)","4","6","147533","spotify:user:s1mo80","2016-02-12T15:30:12Z"
"spotify:track:1RwsUaPOnhsqErFn42WkwA","Future Game","Rockets","Atomic","1","5","290960","spotify:user:s1mo80","2016-02-12T15:31:23Z"
"spotify:track:1esrPCrpjJhubSqRtNz5Yw","One More Robot/Sympathy 3000-21","The Flaming Lips","Yoshimi Battles The Pink Robots (U.S. Version)","1","2","299493","spotify:user:eatyourgreens","2016-02-12T15:36:45Z"
"spotify:track:37byTgX1J3lKEYEY9kJvXt","I'm A Robot","Weezer","Death to False Metal (International Version)","1","6","150986","spotify:user:eatyourgreens","2016-02-12T15:37:13Z"
"spotify:track:6baN5nSUIVTsUyugSuAj7U","Main Titles - From "Blade Runner"","Vangelis","Blade Runner (Music From The Original Soundtrack)","1","1","222373","spotify:user:eatyourgreens","2016-02-12T15:43:07Z"
"spotify:track:0ccCwNzXvr1Yoz91vKz31Z","Yoshimi Battles The Pink Robots Part 1","The Flaming Lips","Yoshimi Battles The Pink Robots (U.S. Version)","1","3","287506","spotify:user:mrniaboc","2016-02-12T15:37:48Z"
"spotify:track:0S7zL7ae0KpOSPKeFQpHo8","I Bet You Look Good On The Dancefloor","Arctic Monkeys","Whatever People Say I Am, That's What I'm Not","1","2","173680","spotify:user:s1mo80","2016-02-12T15:38:31Z"
"spotify:track:0LTZD4vTsp0EN1wXatc9IR","Paranoid Android","Radiohead","OK Computer [Collector's Edition]","1","2","383506","spotify:user:mrniaboc","2016-02-12T15:38:52Z"
"spotify:track:0U2hsYgZP92EMzdciEYWkj","Coelakanth Is Android","POLYSICS","Polysics or Die!!!! Vista","1","9","169160","spotify:user:trinity3infinity","2016-02-12T15:47:30Z"
"spotify:track:6pBA5t4Q6b8CQEOlYB6P7H","Half Man Half Machine","Goldie Lookin Chain","Straight Outta Newport","1","4","221293","spotify:user:mrniaboc","2016-02-12T15:45:33Z"
"spotify:track:3QuKkzTIYVNW9A1NRJeHJd","Fembot","Robyn","Body Talk Pt. 1","1","2","215481","spotify:user:alexbowyer","2016-02-12T15:50:15Z"
"spotify:track:2QiqwOVUctPRVggO9G1Zs5","Wake Up - Remastered","Rage Against The Machine","Rage Against The Machine - XX (20th Anniversary Special Edition)","1","7","363853","spotify:user:alexbowyer","2016-02-12T15:50:06Z"
"spotify:track:6VCqx14OVaX9uwSvC0PvAG","The Girl And The Robot","Röyksopp","Junior","1","2","268893","spotify:user:trinity3infinity","2016-02-12T15:53:54Z"
"spotify:track:0VoB7DY176iW55iK3OtzdV","Bury My Robot Bones in the Uncanny Valley","Seashell Radio","Slick Machine","1","5","178173","spotify:user:trinity3infinity","2016-02-12T16:37:41Z"
"spotify:track:4yeILpRczJAXG6kAsE7pGk","Deceptacon","Le Tigre","The Punk Singer (Original Motion Picture Soundtrack)","1","15","184680","spotify:user:trinity3infinity","2016-02-12T16:58:14Z"
"spotify:track:2imFIZ1WcOHrA5IPFhVLJY","Rockit","Herbie Hancock","The Best Of Herbie Hancock - The Hits!","1","9","325800","spotify:user:irregulargalaxies","2016-02-12T19:15:19Z"
"spotify:track:1Kku9Y1D75oJ3gqMQWLVOE","Chiron Beta Prime","Jonathan Coulton","JoCo Looks Back","1","7","171040","spotify:user:irregulargalaxies","2016-02-12T19:15:31Z"
"spotify:track:521JzBGTbQ2lEilfATw261","Mystery Science Theater 3000","Neil Norman & His Cosmic Orchestra","Greatest Science Fiction Hits Vol. V","1","13","162666","spotify:user:irregulargalaxies","2016-02-12T19:17:07Z"
"spotify:track:49urCfd5D8GWhVwdYpj3yv","Robot Girlfriend","Big Boy Bloater & The Limits","Robot Girlfriend","1","1","232893","spotify:user:alexbowyer","2016-02-15T15:05:17Z"
"spotify:track:6Mp13cXEw45yodxkjE6ztq","Robotboy","Robyn","Robyn","1","11","210586","spotify:user:alexbowyer","2016-02-15T15:06:51Z"
"spotify:track:4mw8LoRMvjE2SqElwT6fee","Destroy Them With Lasers","Knife Party","100% No Modern Talking","1","2","296014","spotify:user:alexbowyer","2016-02-15T15:18:38Z"
